Date,open,high,low,close,close t-3,close t-5,close t-7,close t-12,close t-30,close t+3,close t+5,close t+7,close t+12,close t+30,volume,stoch_k,stoch_k_smooth,stoch_d,ma_5,ma_13, fng_value,fng_classification
2018-02-01,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,,,,,,8277.009765625,7754.0,8265.58984375,8598.3095703125,11489.7001953125,9959400448,11.098438598550533,11.401036367349759,27.762554414237325,10516.1279296875,11085.433969350961,30.0,Fear
2018-02-02,9142.2802734375,9142.2802734375,7796.490234375,8830.75,,,,,,6955.27001953125,7621.2998046875,8736.98046875,9494.6298828125,11512.599609375,12726899712,25.355038822046787,18.686779094664043,18.4428876228116,9925.01796875,10772.47626201923,15.0,Extreme Fear
2018-02-03,8852.1201171875,9430.75,8251.6298828125,9174.91015625,,,,,,7754.0,8265.58984375,8621.900390625,10166.400390625,11573.2998046875,7263790080,39.26328113721211,25.238919519269803,18.442244993761193,9500.719921875,10585.923227163461,40.0,Fear
2018-02-04,9175.7001953125,9334.8701171875,8031.22021484375,8277.009765625,9170.5400390625,,,,,7621.2998046875,8736.98046875,8129.97021484375,10233.900390625,10779.900390625,7073549824,18.58797681432725,27.735432257862044,23.887043623931955,9134.8619140625,10381.739332932691,24.0,Extreme Fear
2018-02-05,8270.5400390625,8364.83984375,6756.68017578125,6955.27001953125,8830.75,,,,,8265.58984375,8621.900390625,8926.5703125,11112.7001953125,9965.5703125,9285289984,5.622398576899135,21.157885509479495,24.71074576220377,8481.69599609375,10080.72930438702,11.0,Extreme Fear
2018-02-06,7051.75,7850.7001953125,6048.259765625,7754.0,9174.91015625,9170.5400390625,,,,8736.98046875,8129.97021484375,8598.3095703125,10551.7998046875,9395.009765625,13999800320,50.42853389612751,24.879636429117962,24.59098473215316,8198.38798828125,9803.39081280048,8.0,Extreme Fear
2018-02-07,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,8277.009765625,8830.75,,,,8621.900390625,8926.5703125,9494.6298828125,11225.2998046875,9337.5498046875,9169280000,46.50538301859011,34.18543849720558,26.740986811934338,7956.49794921875,9523.53692157452,36.0,Fear
2018-02-08,7637.85986328125,8558.76953125,7637.85986328125,8265.58984375,6955.27001953125,9174.91015625,9170.5400390625,,,8129.97021484375,8598.3095703125,10166.400390625,11403.7001953125,8866.0,9346750464,67.46555998251665,54.79982563241142,37.954966852911646,7774.63388671875,9300.013033353365,30.0,Fear
2018-02-09,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,7754.0,8277.009765625,8830.75,,,8926.5703125,9494.6298828125,10233.900390625,10690.400390625,9578.6298828125,6784820224,100.0,71.32364766703559,53.43630393221752,7866.62802734375,9092.034592848559,44.0,Fear
2018-02-10,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,7621.2998046875,6955.27001953125,9174.91015625,,,8598.3095703125,10166.400390625,11112.7001953125,10005.0,9205.1201171875,7780960256,83.71495832529932,83.72683943593866,69.95010424512854,8199.9541015625,8848.619253305289,54.0,Neutral
2018-02-11,8616.1298828125,8616.1298828125,7931.10009765625,8129.97021484375,8265.58984375,7754.0,8277.009765625,,,9494.6298828125,10233.900390625,10551.7998046875,10301.099609375,9194.849609375,6122189824,47.36447303960916,77.02647712163616,77.35898807487013,8275.14814453125,8605.047701322115,31.0,Fear
2018-02-12,8141.43017578125,8985.919921875,8141.43017578125,8926.5703125,8736.98046875,7621.2998046875,6955.27001953125,,,10166.400390625,11112.7001953125,11225.2998046875,9813.0703125,8269.8095703125,6256439808,86.79997171652725,72.6264676938119,77.7932614171289,8536.20224609375,8514.299278846154,42.0,Fear
2018-02-13,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,8621.900390625,8265.58984375,7754.0,9170.5400390625,,10233.900390625,10551.7998046875,11403.7001953125,9664.73046875,8300.8603515625,5696719872,57.648783320237186,63.93774269212452,71.19689583585752,8602.74619140625,8389.469275841346,35.0,Fear
2018-02-14,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,8129.97021484375,8736.98046875,7621.2998046875,8830.75,,11112.7001953125,11225.2998046875,10690.400390625,10366.7001953125,8338.349609375,7909819904,98.49379144203598,80.98084882626681,72.51501973740108,8754.27607421875,8414.399263822115,55.0,Greed
2018-02-15,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,8926.5703125,8621.900390625,8265.58984375,9174.91015625,,10551.7998046875,11403.7001953125,10005.0,10725.599609375,7916.8798828125,9062540288,97.03088845070673,84.39115440432663,76.4365819742393,9063.17607421875,8517.1416015625,71.0,Greed
2018-02-16,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,8598.3095703125,8129.97021484375,8736.98046875,8277.009765625,,11225.2998046875,10690.400390625,10301.099609375,10397.900390625,8223.6796875,7296159744,95.86748147192003,97.13072045488757,87.50090789516032,9483.962109375,8598.602388822115,67.0,Greed
2018-02-17,10207.5,11139.5,10149.400390625,11112.7001953125,9494.6298828125,8926.5703125,8621.900390625,6955.27001953125,,11403.7001953125,10005.0,9813.0703125,10951.0,8630.650390625,8660880384,99.00153101246202,97.29996697836292,92.94061394585903,9921.1880859375,8816.732421875,74.0,Greed
2018-02-18,11123.400390625,11349.7998046875,10326.0,10551.7998046875,10166.400390625,8598.3095703125,8129.97021484375,7754.0,,10690.400390625,10301.099609375,9664.73046875,11086.400390625,8913.4697265625,8744009728,70.98055064194921,88.61652104211042,94.34906949178696,10311.8861328125,9093.388559194711,63.0,Greed
2018-02-19,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,10233.900390625,9494.6298828125,8926.5703125,7621.2998046875,,10005.0,9813.0703125,10366.7001953125,11489.7001953125,8929.2802734375,7652089856,93.62917084973871,87.8704175013833,91.26230184061887,10658.0201171875,9360.41162109375,67.0,Greed
2018-02-20,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,11112.7001953125,10166.400390625,8598.3095703125,8265.58984375,,10301.099609375,9664.73046875,10725.599609375,11512.599609375,8728.4697265625,9926540288,73.99798067452427,79.53590072207072,85.34094642185481,10905.480078125,9651.365497295674,74.0,Greed
2018-02-21,11372.2001953125,11418.5,10479.099609375,10690.400390625,10551.7998046875,10233.900390625,9494.6298828125,8736.98046875,,9813.0703125,10366.7001953125,10397.900390625,11573.2998046875,8879.6201171875,9405339648,29.904378796859195,65.84384344037406,77.75005388794268,10996.780078125,9837.889385516826,54.0,Neutral
2018-02-22,10660.400390625,11039.099609375,9939.08984375,10005.0,11225.2998046875,11112.7001953125,10166.400390625,8621.900390625,,9664.73046875,10725.599609375,10951.0,10779.900390625,8668.1201171875,8040079872,3.263832067299974,35.722063846227805,60.36726933622418,10775.2400390625,9935.429349459135,44.0,Fear
2018-02-23,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,11403.7001953125,10551.7998046875,10233.900390625,8129.97021484375,,10366.7001953125,10397.900390625,11086.400390625,9965.5703125,8495.7802734375,7739500032,25.474604962422852,19.54760527552733,40.37117085404305,10725.1,10064.598520132211,39.0,Fear
2018-02-24,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,10690.400390625,11225.2998046875,11112.7001953125,8926.5703125,,10725.599609375,10951.0,11489.7001953125,9395.009765625,8209.400390625,6917929984,11.034511524426714,13.257649518049837,22.84243954660165,10442.6541015625,10194.067758413461,31.0,Fear
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,10005.0,11403.7001953125,10551.7998046875,8598.3095703125,,10397.900390625,11086.400390625,11512.599609375,9337.5498046875,7833.0400390625,5706939904,12.810267439912803,16.439794642254114,16.41501647861042,10094.86015625,10250.84930889423,33.0,Fear
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,10301.099609375,10690.400390625,11225.2998046875,9494.6298828125,,10951.0,11489.7001953125,11573.2998046875,8866.0,7954.47998046875,7287690240,58.800066299307865,27.54828175454912,19.081908638284347,10030.1201171875,10386.879356971154,37.0,Fear
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,9813.0703125,10005.0,11403.7001953125,10166.400390625,,11086.400390625,11512.599609375,10779.900390625,9578.6298828125,7165.7001953125,6966179840,89.60879505958168,53.73970959960078,32.57592866546799,10174.2400390625,10481.5693359375,44.0,Fear
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,9664.73046875,10301.099609375,10690.400390625,10233.900390625,,11489.7001953125,11573.2998046875,9965.5703125,9205.1201171875,6890.52001953125,6936189952,58.88257736230549,69.09714624039835,50.128379198182735,10193.6001953125,10499.377028245191,41.0,Fear
2018-03-01,10385.0,11052.2998046875,10352.7001953125,10951.0,10366.7001953125,9813.0703125,10005.0,11112.7001953125,,11512.599609375,10779.900390625,9395.009765625,9194.849609375,6973.52978515625,7317279744,91.75156082608005,80.0809777493224,67.63927786310717,10421.1861328125,10554.538536658654,38.0,Fear
2018-03-02,10977.400390625,11189.0,10850.099609375,11086.400390625,10725.599609375,9664.73046875,10301.099609375,10551.7998046875,,11573.2998046875,9965.5703125,9337.5498046875,8269.8095703125,6844.22998046875,7620590080,93.9191926675171,81.51777695196755,76.89863364722943,10705.5201171875,10552.515474759615,47.0,Neutral
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,10397.900390625,10366.7001953125,9813.0703125,11225.2998046875,9170.5400390625,10779.900390625,9395.009765625,8866.0,8300.8603515625,7083.7998046875,6690570240,96.99711548202374,94.22262299187362,85.27379256438785,10930.1201171875,10624.661658653846,56.0,Greed
2018-03-04,11497.400390625,11512.599609375,11136.099609375,11512.599609375,10951.0,10725.599609375,9664.73046875,11403.7001953125,8830.75,9965.5703125,9337.5498046875,9578.6298828125,8338.349609375,7456.10986328125,6084149760,98.67285530093577,96.52972115015886,90.75670703133335,11087.5201171875,10646.761643629809,44.0,Fear
2018-03-05,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,11086.400390625,10397.900390625,10366.7001953125,10690.400390625,9174.91015625,9395.009765625,8866.0,9205.1201171875,7916.8798828125,6853.83984375,6468539904,90.32115869472689,95.33037649256211,95.3609068781982,11322.6,10659.807767427885,55.0,Greed
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,11489.7001953125,10951.0,10725.599609375,10005.0,8277.009765625,9337.5498046875,9578.6298828125,9194.849609375,8223.6796875,6811.47021484375,6832169984,8.476985788682201,65.82366659478161,85.89458807916753,11288.380078125,10666.6923828125,59.0,Greed
2018-03-07,10803.900390625,10929.5,9692.1201171875,9965.5703125,11512.599609375,11086.400390625,10397.900390625,10301.099609375,6955.27001953125,8866.0,9205.1201171875,8269.8095703125,8630.650390625,6636.31982421875,8797910016,13.59110251244135,37.46308233195014,66.20570847309794,11064.2140625,10663.659329927885,37.0,Fear
2018-03-08,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,11573.2998046875,11489.7001953125,10951.0,9813.0703125,7754.0,9578.6298828125,9194.849609375,8300.8603515625,8913.4697265625,6911.08984375,7186089984,2.49720935545286,8.188432552192127,37.15839382630796,10645.2759765625,10593.960111177885,39.0,Fear
2018-03-09,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,10779.900390625,11512.599609375,11086.400390625,9664.73046875,7621.2998046875,9205.1201171875,8269.8095703125,8338.349609375,8929.2802734375,7023.52001953125,8704190464,25.83834584740433,13.97555257176617,19.875689151969475,10210.266015625,10557.381610576924,37.0,Fear
2018-03-10,9350.58984375,9531.3203125,8828.4697265625,8866.0,9965.5703125,11573.2998046875,11489.7001953125,10366.7001953125,8265.58984375,9194.849609375,8300.8603515625,7916.8798828125,8728.4697265625,6770.72998046875,5386319872,11.816589669208984,13.384048290688716,11.849344471549001,9668.8060546875,10495.940805288461,39.0,Fear
2018-03-11,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,9395.009765625,10779.900390625,11512.599609375,10725.599609375,8736.98046875,8269.8095703125,8338.349609375,8223.6796875,8879.6201171875,6834.759765625,6296370176,44.097370542723375,27.250768686445554,18.203456516300143,9428.551953125,10435.32001201923,40.0,Fear
2018-03-12,9602.9296875,9937.5,8956.4296875,9205.1201171875,9337.5498046875,9965.5703125,11573.2998046875,10397.900390625,8621.900390625,8300.8603515625,7916.8798828125,8630.650390625,8668.1201171875,6968.31982421875,6457399808,42.345967811806325,32.753309341246215,24.46270877279349,9276.4619140625,10318.36005108173,41.0,Fear
2018-03-13,9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375,8866.0,9395.009765625,10779.900390625,10951.0,8129.97021484375,8338.349609375,8223.6796875,8913.4697265625,8495.7802734375,7889.25,5991139840,47.86478246770831,44.76937360741266,34.924483878368136,9236.4298828125,10225.81768329327,41.0,Fear
2018-03-14,9214.650390625,9355.849609375,8068.58984375,8269.8095703125,9578.6298828125,9337.5498046875,9965.5703125,11086.400390625,8926.5703125,7916.8798828125,8630.650390625,8929.2802734375,8209.400390625,7895.9599609375,6438230016,10.766688055580522,33.65914611169837,37.060609686785746,9022.8818359375,10019.572265625,40.0,Fear
